race,year,winner,country,team,distance
Giro d'Italia,1968,Eddy Merckx‡,Belgium,Faema,"3,917 km (2,434 mi)"
Giro d'Italia,1969,Felice Gimondi,Italy,Salvarani,"3,851 km (2,393 mi)"
Giro d'Italia,1970,Eddy Merckx,Belgium,Faemino–Faema,"3,292 km (2,046 mi)"
Giro d'Italia,1971,Gösta Pettersson,Sweden,Ferretti,"3,621 km (2,250 mi)"
Giro d'Italia,1972,Eddy Merckx,Belgium,Molteni,"3,725 km (2,315 mi)"
Giro d'Italia,1973,Eddy Merckx,Belgium,Molteni,"3,801 km (2,362 mi)"
Giro d'Italia,1974,Eddy Merckx,Belgium,Molteni,"4,001 km (2,486 mi)"
Giro d'Italia,1975,Fausto Bertoglio,Italy,Jollj Ceramica,"3,933 km (2,444 mi)"
Giro d'Italia,1976,Felice Gimondi,Italy,Bianchi–Campagnolo,"4,161 km (2,586 mi)"
Giro d'Italia,1977,Michel Pollentier,Belgium,Flandria–Velda–Latina Assicurazioni,"3,884 km (2,413 mi)"
Giro d'Italia,1978,Johan De Muynck,Belgium,Bianchi–Faema,"3,610 km (2,240 mi)"
Giro d'Italia,1979,Giuseppe Saronni,Italy,Scic–Bottecchia,"3,301 km (2,051 mi)"
Giro d'Italia,1980,Bernard Hinault,France,Renault–Gitane,"4,025 km (2,501 mi)"
Giro d'Italia,1981,Giovanni Battaglin,Italy,Inoxpran,"3,895 km (2,420 mi)"
Giro d'Italia,1982,Bernard Hinault,France,Renault–Elf–Gitane,"4,010 km (2,490 mi)"
Giro d'Italia,1983,Giuseppe Saronni,Italy,Del Tongo–Colnago,"3,916 km (2,433 mi)"
Giro d'Italia,1984,Francesco Moser,Italy,Gis Gelati–Tuc Lu,"3,808 km (2,366 mi)"
Giro d'Italia,1985,Bernard Hinault,France,La Vie Claire–Look,"3,998 km (2,484 mi)"
Giro d'Italia,1986,Roberto Visentini,Italy,Carrera Jeans–Vagabond,"3,858 km (2,397 mi)"
Giro d'Italia,1987,Stephen Roche,Ireland,Carrera Jeans–Vagabond,"3,915 km (2,433 mi)"
Giro d'Italia,1988,Andrew Hampsten,United States,7-Eleven–Hoonved,"3,759 km (2,336 mi)"
Giro d'Italia,1989,Laurent Fignon,France,Super U–Raleigh–Fiat,"3,623 km (2,251 mi)"
Giro d'Italia,1990,Gianni Bugno,Italy,Chateau d'Ax–Salotti,"3,450 km (2,140 mi)"
Giro d'Italia,1991,Franco Chioccioli,Italy,Del Tongo–MG Boys,"3,715 km (2,308 mi)"
Giro d'Italia,1992,Miguel Indurain,Spain,Banesto,"3,835 km (2,383 mi)"
Giro d'Italia,1993,Miguel Indurain,Spain,Banesto,"3,703 km (2,301 mi)"
Giro d'Italia,1994,Evgeni Berzin,Russia,Gewiss–Ballan,"3,738 km (2,323 mi)"
Giro d'Italia,1995,Tony Rominger,Switzerland,Mapei–GB–Latexco,"3,736 km (2,321 mi)"
Giro d'Italia,1996,Pavel Tonkov,Russia,Panaria–Vinavil,"3,990 km (2,480 mi)"
Giro d'Italia,1997,Ivan Gotti,Italy,Saeco–Estro,"3,912 km (2,431 mi)"
Giro d'Italia,1998,Marco Pantani,Italy,Mercatone Uno–Bianchi,"3,868 km (2,403 mi)"
Giro d'Italia,1999,Ivan Gotti,Italy,Team Polti,"3,757 km (2,334 mi)"
Giro d'Italia,2000,Stefano Garzelli,Italy,Mercatone Uno–Albacom,"3,707 km (2,303 mi)"
Giro d'Italia,2001,Gilberto Simoni,Italy,Lampre–Daikin,"3,572 km (2,220 mi)"
Giro d'Italia,2002,Paolo Savoldelli,Italy,Index–Alexia Alluminio,"3,334 km (2,072 mi)"
Giro d'Italia,2003,Gilberto Simoni,Italy,Saeco,"3,544 km (2,202 mi)"
Giro d'Italia,2004,Damiano Cunego,Italy,Saeco,"3,435 km (2,134 mi)"
Giro d'Italia,2005,Paolo Savoldelli,Italy,Discovery Channel,"3,440 km (2,140 mi)"
Giro d'Italia,2006,Ivan Basso,Italy,Team CSC,"3,526 km (2,191 mi)"
Giro d'Italia,2007,Danilo Di Luca,Italy,Liquigas,"3,463 km (2,152 mi)"
Giro d'Italia,2008,Alberto Contador,Spain,Astana,"3,420 km (2,130 mi)"
Giro d'Italia,2009,Denis Menchov,Russia,Rabobank,"3,456 km (2,147 mi)"
Giro d'Italia,2010,Ivan Basso,Italy,Liquigas–Doimo,"3,485 km (2,165 mi)"
Giro d'Italia,2011,Michele Scarponi[a],Italy,Lampre–ISD,"3,524 km (2,190 mi)"
Giro d'Italia,2012,Ryder Hesjedal,Canada,Garmin–Barracuda,"3,503 km (2,177 mi)"
Giro d'Italia,2013,Vincenzo Nibali,Italy,Astana,"3,405 km (2,116 mi)"
Giro d'Italia,2014,Nairo Quintana,Colombia,Movistar Team,"3,445.5 km (2,140.9 mi)"
Giro d'Italia,2015,Alberto Contador,Spain,Tinkoff–Saxo,"3,481.8 km (2,163.5 mi)"
Giro d'Italia,2016,Vincenzo Nibali,Italy,Astana,"3,463.15 km (2,151.90 mi)"
Giro d'Italia,2017,Tom Dumoulin,Netherlands,Team Sunweb,"3,609.1 km (2,242.6 mi)"
Giro d'Italia,2018,Chris Froome,Great Britain,Team Sky,"3,572.4 km (2,219.8 mi)"
Giro d'Italia,2019,Richard Carapaz,Ecuador,Movistar Team,"3,546.8 km (2,203.9 mi)"
Giro d'Italia,2020,Tao Geoghegan Hart,Great Britain,Ineos Grenadiers,"3,361.4 km (2,088.7 mi)"
Giro d'Italia,2021,Egan Bernal,Colombia,Ineos Grenadiers,"3,410.9 km (2,119.4 mi)"
Giro d'Italia,2022,Jai Hindley,Australia,Bora–Hansgrohe,"3,445.6 km (2,141.0 mi)"
Giro d'Italia,2023,Primož Roglič,Slovenia,Team Jumbo–Visma,"3,448 km (2,142 mi)"
Giro d'Italia,2024,Tadej Pogačar,Slovenia,UAE Team Emirates,"3,317.5 km (2,061.4 mi)"
Giro d'Italia,2025,Simon Yates,Great Britain,Visma–Lease a Bike,"3,443.3 km (2,139.6 mi)"
Vuelta a España,1935,Gustaaf Deloor,Belgium,—,"3,245 km (2,016 mi)"
Vuelta a España,1936,Gustaaf Deloor,Belgium,—,"4,364 km (2,712 mi)"
Vuelta a España,1937,~Not contested due to the Spanish Civil War,—,—,—
Vuelta a España,1941,Julián Berrendero,Spain,—,"4,406 km (2,738 mi)"
Vuelta a España,1942,Julián Berrendero,Spain,—,"3,688 km (2,292 mi)"
Vuelta a España,1943,~Not contested due to World War II,—,—,—
Vuelta a España,1945,Delio Rodríguez,Spain,—,"3,803 km (2,363 mi)"
Vuelta a España,1946,Dalmacio Langarica,Spain,—,"3,836 km (2,384 mi)"
Vuelta a España,1947,Edward Van Dijck,Belgium,—,"3,893 km (2,419 mi)"
Vuelta a España,1948,Bernardo Ruiz,Spain,Udsans–Portaminas Alas Color,"3,990 km (2,480 mi)"
Vuelta a España,1949,~Not contested,—,—,—
Vuelta a España,1950,Emilio Rodríguez,Spain,—,"3,932 km (2,443 mi)"
Vuelta a España,1951,~Not contested,—,—,—
Vuelta a España,1955,Jean Dotto,France,France,"2,740 km (1,700 mi)"
Vuelta a España,1956,Angelo Conterno,Italy,Italy,"3,531 km (2,194 mi)"
Vuelta a España,1957,Jesús Loroño,Spain,Spain,"2,967 km (1,844 mi)"
Vuelta a España,1958,Jean Stablinski,France,France,"3,241.8 km (2,014.4 mi)"
Vuelta a España,1959,Antonio Suárez,Spain,Licor 43,"3,048 km (1,894 mi)"
Vuelta a España,1960,Frans De Mulder,Belgium,Groene Leeuw–Sinalco–SAS,"3,567 km (2,216 mi)"
Vuelta a España,1961,Angelino Soler,Spain,Faema,"2,856.5 km (1,774.9 mi)"
Vuelta a España,1962,Rudi Altig,West Germany,Saint-Raphaël–Helyett–Hutchinson,"2,813 km (1,748 mi)"
Vuelta a España,1963,Jacques Anquetil,France,Saint-Raphaël–Gitane–R. Geminiani,"2,442 km (1,517 mi)"
Vuelta a España,1964,Raymond Poulidor,France,Mercier–BP–Hutchinson,"2,860 km (1,780 mi)"
Vuelta a España,1965,Rolf Wolfshohl,West Germany,Mercier–BP–Hutchinson,"3,410 km (2,120 mi)"
Vuelta a España,1966,Francisco Gabica,Spain,Kas–Kaskol,"2,949.5 km (1,832.7 mi)"
Vuelta a España,1967,Jan Janssen,Netherlands,Pelforth–Sauvage–Lejeune,"2,941 km (1,827 mi)"
Vuelta a España,1968,Felice Gimondi,Italy,Salvarani,"3,014 km (1,873 mi)"
Vuelta a España,1969,Roger Pingeon,France,Peugeot–BP–Michelin,"2,921.4 km (1,815.3 mi)"
Vuelta a España,1970,Luis Ocaña,Spain,Bic,"3,568 km (2,217 mi)"
Vuelta a España,1971,Ferdinand Bracke,Belgium,Peugeot–BP–Michelin,"2,892 km (1,797 mi)"
Vuelta a España,1972,José Manuel Fuente,Spain,Kas–Kaskol,"3,086.6 km (1,917.9 mi)"
Vuelta a España,1973,Eddy Merckx,Belgium,Molteni,"3,080.9 km (1,914.4 mi)"
Vuelta a España,1974,José Manuel Fuente,Spain,Kas–Kaskol,"2,991 km (1,859 mi)"
Vuelta a España,1975,Agustín Tamames,Spain,Super Ser,"3,104.4 km (1,929.0 mi)"
Vuelta a España,1976,José Pesarrodona,Spain,Kas–Campagnolo,"3,341 km (2,076 mi)"
Vuelta a España,1977,Freddy Maertens,Belgium,Flandria–Velda–Latina Assicurazioni,"2,785.5 km (1,730.8 mi)"
Vuelta a España,1978,Bernard Hinault,France,Renault–Gitane–Campagnolo,"2,990 km (1,860 mi)"
Vuelta a España,1979,Joop Zoetemelk,Netherlands,Miko–Mercier–Vivagel,"3,165.5 km (1,967.0 mi)"
Vuelta a España,1980,Faustino Rupérez,Spain,Zor–Vereco,"3,226 km (2,005 mi)"
Vuelta a España,1981,Giovanni Battaglin,Italy,Inoxpran,"3,531.3 km (2,194.2 mi)"
Vuelta a España,1982,Ángel Arroyo Marino Lejarreta,Spain,Teka,"3,423 km (2,127 mi)"
Vuelta a España,1983,Bernard Hinault,France,Renault–Elf,"3,399 km (2,112 mi)"
Vuelta a España,1984,Éric Caritoux,France,Skil–Reydel–Sem–Mavic,"3,361.6 km (2,088.8 mi)"
Vuelta a España,1985,Pedro Delgado,Spain,Orbea–Gin MG,"3,467.6 km (2,154.7 mi)"
Vuelta a España,1986,Álvaro Pino,Spain,Zor–BH,"3,675 km (2,284 mi)"
Vuelta a España,1987,Luis Herrera,Colombia,Café de Colombia–Varta,"3,921.4 km (2,436.6 mi)"
Vuelta a España,1988,Sean Kelly,Ireland,Kas–Canal 10,"3,428.4 km (2,130.3 mi)"
Vuelta a España,1989,Pedro Delgado,Spain,Reynolds,"3,656.6 km (2,272.1 mi)"
Vuelta a España,1990,Marco Giovannetti,Italy,Seur,"3,711 km (2,306 mi)"
Vuelta a España,1991,Melcior Mauri,Spain,ONCE,"3,213.2 km (1,996.6 mi)"
Vuelta a España,1992,Tony Rominger,Switzerland,CLAS–Cajastur,"3,558.1 km (2,210.9 mi)"
Vuelta a España,1993,Tony Rominger‡,Switzerland,CLAS–Cajastur,"3,585.5 km (2,227.9 mi)"
Vuelta a España,1994,Tony Rominger,Switzerland,Mapei–CLAS,"3,531.1 km (2,194.1 mi)"
Vuelta a España,1995,Laurent Jalabert‡,France,ONCE,"3,637.6 km (2,260.3 mi)"
Vuelta a España,1996,Alex Zülle,Switzerland,ONCE,"3,947 km (2,453 mi)"
Vuelta a España,1997,Alex Zülle,Switzerland,ONCE,"3,759.2 km (2,335.9 mi)"
Vuelta a España,1998,Abraham Olano,Spain,Banesto,"3,781 km (2,349 mi)"
Vuelta a España,1999,Jan Ullrich,Germany,Team Telekom,"3,548.7 km (2,205.1 mi)"
Vuelta a España,2000,Roberto Heras,Spain,Kelme–Costa Blanca,"2,894 km (1,798 mi)"
Vuelta a España,2001,Ángel Casero,Spain,Festina,"3,012.2 km (1,871.7 mi)"
Vuelta a España,2002,Aitor González,Spain,Kelme–Costa Blanca,"3,128.7 km (1,944.1 mi)"
Vuelta a España,2003,Roberto Heras,Spain,U.S. Postal Service,"2,958.3 km (1,838.2 mi)"
Vuelta a España,2004,Roberto Heras,Spain,Liberty Seguros,"2,894 km (1,798 mi)"
Vuelta a España,2005,Roberto Heras[a],Spain,Liberty Seguros–Würth,"3,356 km (2,085 mi)"
